date,time,title,link
2024.12.03,08:54,12／3群益早安｜全球財經時事深度解說,https://www.ctee.com.tw/news/20241203700518-430205
2024.12.03,08:00,《百貨股》統一超OPENPOINT市場規模突破35億創高 兌換選擇多元化,https://www.ctee.com.tw/news/20241203700544-430201
2024.12.03,07:57,《金融股》第一保前三季賺贏去年全年 明年股利正向看待,https://www.ctee.com.tw/news/20241203700541-430201
2024.12.03,07:56,《櫃買市場》久昌本周上櫃掛牌,https://www.ctee.com.tw/news/20241203700540-430201
2024.12.03,07:56,《半導體》群聯處分宏芯宇股權 44億元獲利將投入台灣研發,https://www.ctee.com.tw/news/20241203700539-430201
2024.12.03,07:40,12／3盤前｜內外資喊買4檔半導體設備 這檔擠進台積優良供應商,https://www.ctee.com.tw/news/20241203700420-430201
2024.12.03,03:00,櫃買中心董事長 簡立忠：擴大永續債 拉升政府發行,https://www.ctee.com.tw/news/20241203700066-430201
2024.12.03,03:00,作帳行情啟動 法人看好12月台股上漲機率逾9成,https://www.ctee.com.tw/news/20241203700081-430201
2024.12.03,03:00,國家隊護盤有好報酬！三大政府基金 前十月賺逾兆元,https://www.ctee.com.tw/news/20241203700085-430201
2024.12.03,03:00,零股撮合新制成交大爆發 15檔散戶都在買,https://www.ctee.com.tw/news/20241203700088-430201
2024.12.03,03:00,今年IPO衝54家 近六年最多,https://www.ctee.com.tw/news/20241203700090-430201
2024.12.03,03:00,搶進先進封裝商機 4檔半導體設備 內外資喊買,https://www.ctee.com.tw/news/20241203700222-430201
2024.12.03,03:00,大盤觸底反彈 看好年底作帳行情,https://www.ctee.com.tw/news/20241203700233-430205
2024.12.03,03:00,致茂 訂單增溫前景看俏,https://www.ctee.com.tw/news/20241203700247-430201
2024.12.03,03:00,西勝 題材加持股價創高,https://www.ctee.com.tw/news/20241203700249-430201
2024.12.03,03:00,信立 外資進駐漲停,https://www.ctee.com.tw/news/20241203700262-430201
2024.12.03,03:00,亞航 成功站上5日線,https://www.ctee.com.tw/news/20241203700264-430201
2024.12.03,03:00,台股11月總開戶 攀峰,https://www.ctee.com.tw/news/20241203700274-430201
2024.12.03,03:00,KY股法說連發 金麗、永邑、麗豐 5日打頭陣,https://www.ctee.com.tw/news/20241203700277-430201
2024.12.03,03:00,臺灣市值動能50指數 四特色吸睛,https://www.ctee.com.tw/news/20241203700278-430201
2024.12.03,03:00,臺灣中型100指數期貨 吸睛,https://www.ctee.com.tw/news/20241203700288-430202
2024.12.03,03:00,油市供過於求 震盪走弱,https://www.ctee.com.tw/news/20241203700290-430202
2024.12.03,03:00,台指期 逆勢突圍均線反壓,https://www.ctee.com.tw/news/20241203700291-430202
2024.12.03,03:00,獲輝達認證 嘉澤、奇鋐股價嗨,https://www.ctee.com.tw/news/20241203700293-430203
2024.12.03,03:00,CCL崛起 台光電、台燿權證夯,https://www.ctee.com.tw/news/20241203700296-430203
2024.12.03,03:00,買盤追價 高力、東陽守均線,https://www.ctee.com.tw/news/20241203700299-430203
2024.12.03,03:00,中光電 攻無人機有成,https://www.ctee.com.tw/news/20241203700302-430203
2024.12.03,03:00,大立光 將受惠i18鏡頭,https://www.ctee.com.tw/news/20241203700305-430203
2024.12.02,22:06,11月非農數據本周出爐 台指期夜盤續漲,https://www.ctee.com.tw/news/20241202701765-430202
